trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.4, 'e': 0.16996714290024081}",25,13,-20.953168237065874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.4, 'e': 0.16010431155483126}",20,14,5.295375078019543,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.4, 'e': 0.15022546991168584}",30,18,22.11349945458275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.4, 'e': 0.1403316058467367}",25,8,34.35703832843346,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.4, 'e': 0.13042370873814554}",30,20,18.36719022734266,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.4, 'e': 0.1205027693673666}",25,16,16.74302630851727,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.4, 'e': 0.11056977982006957}",20,9,18.399365632793405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.4, 'e': 0.10062573338693172}",20,12,15.446049277739348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.09067162446430967}",20,12,15.810833621284917,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.4, 'e': 0.08070844845480062}",25,5,34.24411290709114,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.4, 'e': 0.0707372016677029}",25,11,11.066190482128718,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.4, 'e': 0.0607588812193859}",20,2,11.385748786503207,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.4, 'e': 0.05077448493357918}",20,13,13.721898844621684,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.4, 'e': 0.040785011241591035}",20,13,15.401551558898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,14,21.66004382112223,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,18,14.603822311763434,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,13,32.64261101970346,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,7.152869537624724,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,12,34.79954573960503,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,18.822055668608545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,24.28347950873379,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,17,15.400053761905804,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,12,44.050556630125676,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,10,25.19303241969204,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,18,27.657851318453226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,15,17.708566495660925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,15,20.77964190184334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,7,24.37575211385424,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,15,27.033993888103062,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
